epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7055,1.42391,3.69689,1.2617,0.55258,0.16667,0.37996,0.23849,1.19071,3.4404,1.15175,0.000472003,0.000472003,0.000472003
2,55.1054,1.36495,2.24558,1.18089,0.32694,0.68744,0.74455,0.55161,1.02977,2.47251,1.00685,0.000938948,0.000938948,0.000938948
3,83.4926,1.31611,1.52977,1.17208,0.42351,0.78571,0.57379,0.37737,1.03023,2.92333,1.04375,0.00139646,0.00139646,0.00139646
4,107.999,1.2331,1.35876,1.15269,0.36898,0.88891,0.74641,0.49577,1.25262,2.29516,1.12913,0.00138656,0.00138656,0.00138656
5,132.845,1.14796,1.232,1.13072,0.46806,0.85714,0.69832,0.45204,0.90672,2.08645,1.00446,0.00137241,0.00137241,0.00137241
6,156.725,1.13098,1.14898,1.12239,0.5759,0.80454,0.5995,0.45574,0.90223,2.13068,1.0292,0.00135826,0.00135826,0.00135826
7,177.998,1.08544,1.10419,1.11108,0.46141,0.85714,0.77283,0.57427,0.73934,2.17649,0.98291,0.00134412,0.00134412,0.00134412
8,198.765,1.06991,1.10378,1.1092,0.606,0.8011,0.68362,0.52339,0.824,1.8284,0.98009,0.00132997,0.00132997,0.00132997
9,219.504,1.00197,1.05643,1.0819,0.37514,0.82688,0.78857,0.63869,0.75945,1.90013,0.96148,0.00131582,0.00131582,0.00131582
10,240.233,1.00599,1.04862,1.08391,0.62207,0.73503,0.85134,0.67779,0.78716,1.98286,0.96799,0.00130168,0.00130168,0.00130168
11,267.734,0.98985,1.06787,1.0775,0.49359,0.85714,0.64805,0.53451,0.74026,1.72014,0.95026,0.00128753,0.00128753,0.00128753
12,292.114,0.98035,1.01782,1.07849,0.43493,0.90141,0.87533,0.69529,0.76582,1.70947,0.93729,0.00127338,0.00127338,0.00127338
13,314.966,0.97453,0.98736,1.07674,0.48433,1,0.94833,0.77425,0.76023,1.78855,0.96587,0.00125923,0.00125923,0.00125923
14,340.797,0.96332,0.98766,1.06675,0.46641,0.70274,0.68796,0.56386,0.80038,2.10126,0.9613,0.00124509,0.00124509,0.00124509
15,361.995,0.93673,0.99033,1.06516,0.63338,0.83865,0.81817,0.70318,0.67365,1.62821,0.93272,0.00123094,0.00123094,0.00123094
16,384.568,0.94359,0.96819,1.06964,0.58153,0.85714,0.91793,0.78892,0.67731,1.88181,0.93159,0.00121679,0.00121679,0.00121679
17,405.393,0.93727,0.9585,1.06894,0.4554,0.85714,0.66458,0.56809,0.62799,1.90432,0.92197,0.00120265,0.00120265,0.00120265
18,426.089,0.94073,0.95691,1.0677,0.37312,0.86728,0.80469,0.65055,0.69033,1.92744,0.9328,0.0011885,0.0011885,0.0011885
19,447.143,0.92343,0.94155,1.06117,0.54114,0.92857,0.75549,0.64559,0.63147,1.94114,0.91576,0.00117435,0.00117435,0.00117435
20,470.438,0.93583,0.95083,1.0706,0.65295,0.78126,0.75433,0.63512,0.67471,1.66175,0.91788,0.00116021,0.00116021,0.00116021
21,493.574,0.88698,0.9357,1.0601,0.55639,0.85714,0.77238,0.63865,0.72046,1.51222,0.9277,0.00114606,0.00114606,0.00114606
22,513.322,0.88626,0.91749,1.05087,0.64253,0.75854,0.65047,0.5409,0.7149,2.12211,0.94399,0.00113191,0.00113191,0.00113191
23,533.26,0.89861,0.91385,1.05612,0.44698,0.78641,0.61504,0.46815,0.68263,1.91249,0.93831,0.00111776,0.00111776,0.00111776
24,555.967,0.87224,0.9056,1.05366,0.56401,0.71429,0.6046,0.50212,0.61202,2.28478,0.89753,0.00110362,0.00110362,0.00110362
25,581.438,0.86599,0.9056,1.04729,0.65151,0.78571,0.69163,0.58178,0.63795,1.67479,0.91487,0.00108947,0.00108947,0.00108947
26,606.753,0.87643,0.89311,1.04544,0.58643,0.78571,0.76269,0.63569,0.66595,1.73345,0.93511,0.00107532,0.00107532,0.00107532
27,627.869,0.85778,0.87239,1.04728,0.64979,0.94574,0.83,0.70308,0.6277,1.34041,0.91686,0.00106118,0.00106118,0.00106118
28,680.442,0.87844,0.88407,1.0469,0.39584,0.78571,0.62131,0.50106,0.57661,1.93092,0.89885,0.00104703,0.00104703,0.00104703
29,705.435,0.84734,0.86043,1.04419,0.41531,0.85714,0.65951,0.55226,0.5821,1.66234,0.91595,0.00103288,0.00103288,0.00103288
30,731.315,0.86592,0.87276,1.04536,0.62031,0.7882,0.77167,0.62512,0.68717,1.90358,0.91859,0.00101873,0.00101873,0.00101873
31,757.97,0.84325,0.86324,1.03282,0.58523,0.88063,0.87333,0.73918,0.69149,1.48368,0.93089,0.00100459,0.00100459,0.00100459
32,786.783,0.85725,0.85979,1.04275,0.49125,0.85714,0.72417,0.6214,0.64558,1.77379,0.94087,0.00099044,0.00099044,0.00099044
33,809.236,0.84067,0.86077,1.03713,0.55003,0.72146,0.79583,0.6346,0.61188,2.06392,0.90989,0.000976293,0.000976293,0.000976293
34,830.829,0.83254,0.82765,1.03907,0.64076,0.64286,0.70601,0.64089,0.58247,1.96989,0.91631,0.000962146,0.000962146,0.000962146
35,853.343,0.84554,0.82381,1.04457,0.66083,0.92857,0.945,0.81329,0.68129,1.25174,0.91852,0.000947999,0.000947999,0.000947999
36,877.14,0.82414,0.81628,1.03672,0.68033,0.77116,0.78517,0.64405,0.67344,1.8377,0.91017,0.000933851,0.000933851,0.000933851
