epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.343,1.31498,2.02147,1.25014,0.02889,0.60862,0.03065,0.01693,1.82426,18.8975,2.25227,0.000368444,0.000368444,0.000368444
2,210.098,1.18756,1.47382,1.19187,0.30591,0.6443,0.41083,0.29095,1.06076,1.86892,1.2617,0.000733901,0.000733901,0.000733901
3,292.875,1.17445,1.45557,1.17587,0.51194,0.24959,0.27645,0.17316,1.5352,4.52057,1.60233,0.00109447,0.00109447,0.00109447
4,375.601,1.12278,1.45195,1.15462,0.24423,0.53442,0.2181,0.15017,1.44683,7.22047,1.68359,0.001089,0.001089,0.001089
5,457.473,1.08527,1.41126,1.14287,0.32184,0.33621,0.22713,0.14939,1.46551,2.67286,1.51487,0.00108167,0.00108167,0.00108167
6,540.138,1.00473,1.34604,1.12382,0.22216,0.68717,0.22466,0.16539,0.83173,12.8676,1.17178,0.00107434,0.00107434,0.00107434
7,621.944,0.99472,1.31744,1.11229,0.22026,0.60103,0.21717,0.14073,1.28322,6.61786,1.65888,0.001067,0.001067,0.001067
8,704.22,0.96294,1.26452,1.10463,0.55231,0.24939,0.2355,0.18106,1.91618,3.14973,1.77363,0.00105967,0.00105967,0.00105967
9,786.058,0.92861,1.26962,1.09607,0.37456,0.6778,0.53172,0.40526,0.74015,1.48703,1.1462,0.00105234,0.00105234,0.00105234
10,869.648,0.89886,1.22792,1.08638,0.44585,0.70882,0.60573,0.47265,0.73612,1.41326,1.16218,0.00104501,0.00104501,0.00104501
11,953.245,0.89883,1.22366,1.08063,0.55716,0.62594,0.61732,0.47585,0.78785,1.14795,1.17355,0.00103767,0.00103767,0.00103767
12,1036.82,0.86536,1.1804,1.06747,0.40929,0.36477,0.4432,0.30286,1.17246,1.7867,1.35444,0.00103034,0.00103034,0.00103034
13,1119.72,0.84629,1.12345,1.06156,0.73512,0.61737,0.73959,0.6011,0.74721,1.11287,1.11193,0.00102301,0.00102301,0.00102301
14,1202.55,0.84072,1.13042,1.05462,0.59099,0.7164,0.69137,0.56257,0.66559,1.14528,1.14368,0.00101568,0.00101568,0.00101568
15,1285.21,0.81483,1.09823,1.04996,0.53923,0.57416,0.56608,0.4314,0.95535,1.3289,1.26606,0.00100834,0.00100834,0.00100834
16,1368.39,0.82081,1.14434,1.05574,0.68,0.71354,0.75965,0.64599,0.57291,0.96367,1.06746,0.00100101,0.00100101,0.00100101
17,1451.57,0.82243,1.10358,1.04704,0.5464,0.57545,0.58399,0.43654,0.95755,1.28077,1.46897,0.000993678,0.000993678,0.000993678
18,1534.53,0.78145,1.07674,1.04661,0.59886,0.71459,0.73939,0.61886,0.59723,1.13879,1.07967,0.000986346,0.000986346,0.000986346
19,1617.15,0.77567,1.06334,1.03546,0.68223,0.67003,0.74893,0.62639,0.6575,0.99954,1.12569,0.000979013,0.000979013,0.000979013
20,1700.41,0.78804,1.04285,1.03593,0.60917,0.7394,0.74591,0.62854,0.57965,1.1556,1.0751,0.000971681,0.000971681,0.000971681
21,1782.88,0.80188,1.06287,1.04722,0.66479,0.71398,0.77659,0.63518,0.6764,1.09583,1.08755,0.000964348,0.000964348,0.000964348
22,1865.75,0.76883,1.02118,1.03732,0.65767,0.73502,0.76159,0.66064,0.55428,0.95863,1.07191,0.000957015,0.000957015,0.000957015
23,1950.07,0.76286,1.03491,1.03454,0.71351,0.65836,0.75181,0.64826,0.53015,1.10058,1.07005,0.000949683,0.000949683,0.000949683
24,2032.55,0.75743,1.01374,1.04009,0.62468,0.82857,0.80409,0.69015,0.53571,0.89502,1.05161,0.00094235,0.00094235,0.00094235
25,2114.99,0.77142,1.00963,1.04061,0.69558,0.78032,0.81762,0.68354,0.5901,0.87192,1.07375,0.000935018,0.000935018,0.000935018
26,2197.66,0.76397,0.98065,1.03556,0.76564,0.67605,0.81979,0.69834,0.54876,0.89322,1.06733,0.000927685,0.000927685,0.000927685
27,2280.78,0.74618,0.97026,1.03882,0.71343,0.73463,0.79521,0.69082,0.49451,0.90116,1.06489,0.000920352,0.000920352,0.000920352
28,2363.74,0.71503,0.96969,1.01876,0.7234,0.70195,0.8106,0.6984,0.53392,0.98755,1.06045,0.00091302,0.00091302,0.00091302
29,2446.53,0.70569,0.93656,1.01999,0.70503,0.7226,0.80145,0.69289,0.51841,0.97081,1.0622,0.000905687,0.000905687,0.000905687
30,2529.51,0.74899,0.97586,1.03007,0.67526,0.75641,0.79839,0.67304,0.55699,0.97063,1.08632,0.000898355,0.000898355,0.000898355
31,2612.44,0.71326,0.94637,1.01923,0.74864,0.75597,0.83471,0.73046,0.49642,0.78531,1.06189,0.000891022,0.000891022,0.000891022
32,2695.27,0.73029,0.93273,1.02879,0.70567,0.73704,0.7894,0.67105,0.59121,1.04384,1.07575,0.000883689,0.000883689,0.000883689
33,2777.88,0.70311,0.95613,1.01543,0.60248,0.66156,0.67882,0.54046,0.67936,1.12661,1.16236,0.000876357,0.000876357,0.000876357
34,2860.8,0.72191,0.93849,1.02246,0.75398,0.75362,0.80706,0.69348,0.51093,0.80657,1.06455,0.000869024,0.000869024,0.000869024
35,2943.62,0.7215,0.91507,1.01894,0.64956,0.73223,0.77333,0.63266,0.66422,1.41758,1.13443,0.000861692,0.000861692,0.000861692
36,3026.38,0.70131,0.9067,1.0144,0.59967,0.48741,0.56307,0.34194,1.50616,2.12578,1.73162,0.000854359,0.000854359,0.000854359
37,3108.93,0.68269,0.88761,1.01362,0.74148,0.73468,0.81169,0.66968,0.65145,0.89245,1.10369,0.000847026,0.000847026,0.000847026
38,3191.91,0.68923,0.87569,1.02144,0.82054,0.76334,0.85162,0.73519,0.54968,0.73813,1.07446,0.000839694,0.000839694,0.000839694
