epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2136,1.3819,3.88111,1.24397,0.22327,0.6806,0.257,0.18916,1.04619,4.1143,1.18337,0.000368444,0.000368444,0.000368444
2,71.3525,1.30966,2.38461,1.17432,0.20608,0.72511,0.32094,0.22298,0.95423,2.37011,1.17628,0.00073512,0.00073512,0.00073512
3,102.434,1.22375,1.79858,1.15237,0.32153,0.56664,0.39027,0.28708,1.0128,1.70397,1.17378,0.00109813,0.00109813,0.00109813
4,133.794,1.12681,1.57055,1.1227,0.42956,0.65423,0.51853,0.40932,0.8126,1.40016,1.11983,0.0010945,0.0010945,0.0010945
5,164.601,1.07145,1.50538,1.11027,0.51779,0.65721,0.57525,0.45332,0.83422,1.37899,1.09963,0.001089,0.001089,0.001089
6,195.976,1.00211,1.418,1.0977,0.43875,0.73216,0.59223,0.48448,0.70854,1.3382,1.08577,0.0010835,0.0010835,0.0010835
7,226.887,1.00563,1.38368,1.08909,0.51186,0.68703,0.5882,0.4651,0.7582,1.44662,1.09505,0.001078,0.001078,0.001078
8,259.15,0.97332,1.33853,1.0841,0.47984,0.70438,0.60055,0.45632,0.83139,1.35851,1.16029,0.0010725,0.0010725,0.0010725
9,291.717,0.95982,1.32838,1.08428,0.49152,0.73996,0.67581,0.53765,0.72937,1.36606,1.09736,0.001067,0.001067,0.001067
10,323.455,0.92216,1.28195,1.06987,0.61169,0.63472,0.68323,0.52653,0.7986,1.36297,1.10174,0.0010615,0.0010615,0.0010615
11,356.298,0.9223,1.27075,1.07085,0.48339,0.71329,0.62342,0.47399,0.81433,1.4492,1.14796,0.00105601,0.00105601,0.00105601
12,387.401,0.91218,1.25834,1.059,0.62977,0.6632,0.72965,0.5884,0.75088,1.27476,1.11017,0.00105051,0.00105051,0.00105051
13,419.314,0.9004,1.22022,1.06325,0.56019,0.6204,0.656,0.5227,0.73068,1.46047,1.11082,0.00104501,0.00104501,0.00104501
14,450.447,0.91632,1.21702,1.0634,0.5776,0.75144,0.76051,0.61267,0.67238,1.16363,1.08391,0.00103951,0.00103951,0.00103951
15,481.561,0.88205,1.20775,1.05067,0.55749,0.75614,0.73048,0.59902,0.67027,1.32846,1.08886,0.00103401,0.00103401,0.00103401
16,512.734,0.88384,1.22687,1.05638,0.6445,0.68736,0.72653,0.58902,0.69165,1.26798,1.07914,0.00102851,0.00102851,0.00102851
17,544.584,0.88295,1.20944,1.04922,0.62048,0.68017,0.7483,0.60143,0.6773,1.19591,1.09165,0.00102301,0.00102301,0.00102301
18,575.758,0.85934,1.17689,1.05081,0.53536,0.74099,0.68944,0.56585,0.64297,1.35196,1.07673,0.00101751,0.00101751,0.00101751
19,607.436,0.87055,1.17358,1.04972,0.64007,0.69634,0.71097,0.56713,0.73035,1.2939,1.10065,0.00101201,0.00101201,0.00101201
20,639.743,0.86538,1.16096,1.04804,0.65659,0.70199,0.75344,0.58859,0.72643,1.18283,1.09775,0.00100651,0.00100651,0.00100651
21,673.437,0.86832,1.15039,1.04732,0.69598,0.68815,0.76116,0.63176,0.6066,1.14619,1.05574,0.00100101,0.00100101,0.00100101
22,705.885,0.85006,1.14142,1.04372,0.67558,0.74545,0.78192,0.63158,0.65006,1.11664,1.07628,0.000995512,0.000995512,0.000995512
23,737.952,0.84085,1.14587,1.03702,0.53298,0.7281,0.70553,0.58482,0.64463,1.43025,1.05665,0.000990012,0.000990012,0.000990012
24,768.899,0.85011,1.13819,1.05065,0.67555,0.73847,0.77895,0.63553,0.63367,1.08154,1.06715,0.000984513,0.000984513,0.000984513
25,799.748,0.83982,1.12705,1.04804,0.68772,0.62579,0.72949,0.58166,0.73622,1.29247,1.10031,0.000979013,0.000979013,0.000979013
26,831.417,0.82889,1.11291,1.03948,0.64788,0.67201,0.73753,0.59862,0.68063,1.17059,1.07677,0.000973514,0.000973514,0.000973514
27,862.813,0.80104,1.10565,1.04115,0.63857,0.71866,0.76421,0.63077,0.60527,1.13946,1.05338,0.000968014,0.000968014,0.000968014
28,894.953,0.81968,1.0948,1.02963,0.75414,0.67861,0.79125,0.65157,0.64738,1.1156,1.08497,0.000962515,0.000962515,0.000962515
29,926.142,0.79176,1.0558,1.03003,0.70687,0.76926,0.80896,0.65828,0.66942,1.03448,1.08106,0.000957015,0.000957015,0.000957015
30,958.053,0.82267,1.08718,1.03841,0.70693,0.71758,0.80001,0.65376,0.64058,1.12612,1.08543,0.000951516,0.000951516,0.000951516
31,989.2,0.80741,1.06786,1.03079,0.738,0.72069,0.79543,0.65769,0.60871,1.02601,1.06441,0.000946016,0.000946016,0.000946016
32,1020.97,0.82534,1.07264,1.0417,0.67509,0.71945,0.78702,0.65519,0.59455,1.11129,1.05398,0.000940517,0.000940517,0.000940517
33,1052.13,0.80471,1.07686,1.02772,0.59576,0.68832,0.70671,0.54916,0.72878,1.33648,1.12665,0.000935018,0.000935018,0.000935018
34,1083.05,0.82828,1.07704,1.03976,0.69378,0.73861,0.79686,0.65719,0.64393,1.05462,1.09186,0.000929518,0.000929518,0.000929518
35,1114.08,0.8168,1.04769,1.03158,0.73037,0.72937,0.81205,0.67825,0.59737,1.01271,1.06838,0.000924019,0.000924019,0.000924019
36,1145.79,0.7914,1.03662,1.02509,0.71344,0.72057,0.80216,0.6737,0.58647,1.05418,1.08013,0.000918519,0.000918519,0.000918519
37,1177.01,0.78354,1.0198,1.03182,0.7295,0.78272,0.83032,0.68251,0.65747,1.00862,1.08387,0.00091302,0.00091302,0.00091302
38,1208.82,0.81919,1.0282,1.03995,0.79718,0.74349,0.83135,0.66908,0.71332,0.99308,1.10897,0.00090752,0.00090752,0.00090752
39,1240.1,0.79951,1.05356,1.02374,0.63923,0.76724,0.7789,0.63788,0.6695,1.21108,1.09982,0.000902021,0.000902021,0.000902021
40,1272.05,0.78672,1.02418,1.02049,0.75409,0.75302,0.82764,0.69169,0.59162,0.94713,1.07259,0.000896521,0.000896521,0.000896521
41,1303.29,0.80112,1.02591,1.02892,0.70958,0.77065,0.80842,0.64816,0.72018,0.98559,1.14872,0.000891022,0.000891022,0.000891022
42,1335.16,0.79236,1.02916,1.02271,0.71461,0.67224,0.77522,0.60838,0.7427,1.07095,1.12768,0.000885523,0.000885523,0.000885523
43,1366.34,0.779,1.00809,1.02389,0.70202,0.75135,0.82572,0.69103,0.63817,1.00537,1.09393,0.000880023,0.000880023,0.000880023
