epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.464,1.31253,2.00571,1.25682,0.32857,0.63974,0.48938,0.37081,0.95536,1.59223,1.21547,0.000368444,0.000368444,0.000368444
2,176.859,1.14514,1.45734,1.17749,0.32154,0.38225,0.36349,0.22697,1.69742,2.2581,1.72425,0.00073512,0.00073512,0.00073512
3,248.522,1.1123,1.40171,1.1563,0.31127,0.50317,0.49284,0.36616,0.94596,1.58093,1.22111,0.00109813,0.00109813,0.00109813
4,320.662,1.09234,1.40253,1.14277,0.39774,0.65803,0.539,0.40348,0.91625,1.61878,1.22214,0.0010945,0.0010945,0.0010945
5,391.224,1.07751,1.35331,1.13891,0.49792,0.64925,0.57785,0.40764,1.00611,1.4831,1.23218,0.001089,0.001089,0.001089
6,464.296,0.96441,1.28945,1.10429,0.62138,0.62529,0.66267,0.50103,0.83364,1.24403,1.19426,0.0010835,0.0010835,0.0010835
7,543.928,0.97154,1.2603,1.10037,0.5208,0.66195,0.61674,0.49647,0.70778,1.37145,1.10197,0.001078,0.001078,0.001078
8,621.951,0.89406,1.20715,1.08124,0.59621,0.66053,0.69147,0.54726,0.79491,1.20303,1.15336,0.0010725,0.0010725,0.0010725
9,695.925,0.90185,1.20185,1.08375,0.55784,0.58356,0.55788,0.41696,0.86794,1.67356,1.23843,0.001067,0.001067,0.001067
10,772.583,0.87119,1.17153,1.07758,0.5817,0.69319,0.69582,0.56036,0.64097,1.15375,1.11189,0.0010615,0.0010615,0.0010615
11,846.053,0.86064,1.16467,1.0696,0.6675,0.68756,0.7462,0.60716,0.66963,1.04508,1.13995,0.00105601,0.00105601,0.00105601
12,919.101,0.82751,1.11784,1.05271,0.67443,0.62078,0.69816,0.56694,0.68871,1.16627,1.11166,0.00105051,0.00105051,0.00105051
13,994.145,0.84193,1.103,1.06004,0.61684,0.66269,0.70202,0.57807,0.6045,1.17778,1.07971,0.00104501,0.00104501,0.00104501
14,1070.36,0.82622,1.07614,1.05025,0.56042,0.6212,0.60113,0.42869,0.96093,1.92445,1.40372,0.00103951,0.00103951,0.00103951
15,1145.74,0.81371,1.07529,1.04725,0.63252,0.74911,0.81446,0.68903,0.599,0.97252,1.0761,0.00103401,0.00103401,0.00103401
16,1222.35,0.79787,1.09995,1.05013,0.63101,0.66849,0.71192,0.56507,0.70527,1.28967,1.14091,0.00102851,0.00102851,0.00102851
17,1300.21,0.81325,1.08073,1.04086,0.62736,0.64039,0.66262,0.49715,0.89616,1.18163,1.30392,0.00102301,0.00102301,0.00102301
18,1373.88,0.77891,1.07942,1.04491,0.57779,0.71804,0.71558,0.59459,0.55251,1.17911,1.05804,0.00101751,0.00101751,0.00101751
19,1443.12,0.77276,1.05382,1.03467,0.76174,0.67477,0.78843,0.68464,0.52837,0.90382,1.06142,0.00101201,0.00101201,0.00101201
20,1519.81,0.78232,1.00973,1.03543,0.69803,0.68764,0.78566,0.65895,0.57857,1.03193,1.08582,0.00100651,0.00100651,0.00100651
21,1594.69,0.78269,1.00403,1.03812,0.67645,0.6559,0.73098,0.61174,0.64778,1.23567,1.09611,0.00100101,0.00100101,0.00100101
22,1669.94,0.77817,1.01366,1.04169,0.74584,0.74247,0.82227,0.7036,0.54061,0.84566,1.06888,0.000995512,0.000995512,0.000995512
23,1738.71,0.75957,1.00878,1.03338,0.6682,0.71881,0.80223,0.69056,0.52631,1.13719,1.0533,0.000990012,0.000990012,0.000990012
24,1809.55,0.76788,1.00207,1.04435,0.67362,0.72022,0.79159,0.686,0.53124,0.98423,1.05416,0.000984513,0.000984513,0.000984513
25,1894.21,0.75105,0.9905,1.03472,0.72482,0.70939,0.78057,0.65785,0.61253,0.97739,1.10742,0.000979013,0.000979013,0.000979013
26,1970.68,0.74877,0.95891,1.03071,0.76042,0.71081,0.81373,0.68014,0.61207,0.96908,1.09252,0.000973514,0.000973514,0.000973514
27,2043.74,0.72621,0.94596,1.03656,0.73461,0.74236,0.83583,0.71922,0.54218,0.8922,1.06025,0.000968014,0.000968014,0.000968014
28,2113.55,0.72418,0.94261,1.02322,0.682,0.66343,0.71329,0.54487,0.81098,1.34095,1.25034,0.000962515,0.000962515,0.000962515
29,2185.24,0.69599,0.915,1.01593,0.691,0.83231,0.84521,0.72738,0.51567,0.81439,1.05283,0.000957015,0.000957015,0.000957015
30,2263.78,0.74204,0.95375,1.02888,0.70195,0.75269,0.81951,0.69311,0.55844,0.91283,1.08398,0.000951516,0.000951516,0.000951516
31,2339.98,0.72356,0.91921,1.02119,0.8023,0.8064,0.8669,0.73269,0.54112,0.76274,1.06269,0.000946016,0.000946016,0.000946016
32,2407.56,0.74278,0.92237,1.02755,0.69528,0.79464,0.80137,0.67929,0.58474,0.91917,1.09983,0.000940517,0.000940517,0.000940517
33,2476,0.69873,0.92173,1.01395,0.56348,0.71832,0.6786,0.50945,0.7884,1.39032,1.24305,0.000935018,0.000935018,0.000935018
34,2544.6,0.72506,0.89945,1.02316,0.75167,0.78333,0.83386,0.72294,0.53975,0.81575,1.05473,0.000929518,0.000929518,0.000929518
